,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate
yi-large-preview,55.65217391304348,1.7476460962880829,verified,2317,446,355,4,805,55.65217391304348,51.15266170724525
smoothie_3,55.03105590062112,1.7500057271677354,verified,2331,441,360,4,805,55.03105590062112,50.08228455623629
smoothie_5,52.926525529265255,1.7603306756434531,verified,2200,424,377,2,803,52.926525529265255,49.212749897181745
smoothie_7,51.741293532338304,1.7589939973748352,verified,2215,414,386,4,804,51.741293532338304,49.08777411473971
smoothie_1,52.23880597014925,1.7604938322652026,verified,2203,419,383,2,804,52.23880597014925,48.44946056094644
smoothie_8,52.54658385093167,1.7566832406589694,verified,2263,421,380,4,805,52.54658385093167,48.38780223091269
Storm-7B,51.94300518134715,1.799345871511253,verified,2788,401,371,0,772,51.94300518134715,47.431414868954185
smoothie_0,44.534161490683225,1.747278145932445,verified,2046,356,444,5,805,44.534161490683225,44.6526963297601
Nanbeige-Plus-Chat-v0.1,55.03105590062112,1.754414643676432,verified,2587,443,362,0,805,55.03105590062112,44.3352007339065
smoothie_4,44.96268656716418,1.75217250495956,verified,2099,360,441,3,804,44.96268656716418,43.9052212588956
Qwen1.5-110B-Chat,34.28030303030303,1.681726093474848,verified,1631,269,518,5,792,34.28030303030303,43.5746327469339
smoothie_9,42.01995012468828,1.7395487727154657,verified,1982,335,463,4,802,42.01995012468828,43.5427926029192
pick_random_9,34.4375,1.679845779973006,verified,1661,275,524,1,800,34.4375,41.241148185218066
FsfairX-Zephyr-Chat-v0.1,42.36024844720497,1.7426584441592274,verified,2275,341,464,0,805,42.36024844720497,41.205991777282705
pick_random_7,39.470365699873895,1.7322390416035467,verified,1993,311,478,4,793,39.470365699873895,39.98904649592619
Meta-Llama-3-70B-Instruct,37.57881462799496,1.718662044109308,verified,1919,297,494,2,793,37.57881462799496,39.054196313734394
smoothie_6,27.405063291139243,1.58666187845845,verified,1510,216,573,1,790,27.405063291139243,38.88676603836777
mistral-large-2402,23.43550446998723,1.5134244672010002,verified,1362,183,599,1,783,23.43550446998723,38.62638182434619
smoothie_2,26.96700507614213,1.5806600184841682,verified,1487,212,575,1,788,26.96700507614213,38.40157937428169
pick_random_2,30.434782608695656,1.6203736625703695,verified,1660,244,559,2,805,30.434782608695656,36.46996222045543
pick_random_6,32.05673758865248,1.7531849819079286,verified,1843,224,477,4,705,32.05673758865248,35.152572160262636
pick_random_4,32.79503105590062,1.655681100035765,verified,1794,264,541,0,805,32.79503105590062,34.85178328467223
pick_random_8,33.98734177215189,1.6851059394797978,verified,2006,268,521,1,790,33.98734177215189,33.21151608412176
pick_random_0,29.503105590062113,1.6047816257578638,verified,1677,236,566,3,805,29.503105590062113,33.06349784786244
Ein-70B-v0.1,23.439490445859875,1.5102413585458103,verified,1467,183,600,2,785,23.439490445859875,32.72408603828449
pick_random_1,31.490683229813666,1.6369108459870176,verified,1833,253,551,1,805,31.490683229813666,32.63594577895395
pick_random_3,30.062111801242235,1.6171040905024316,verified,1772,242,563,0,805,30.062111801242235,31.734167880289565
pick_random_5,30.496894409937887,1.622495499108651,verified,1824,245,559,1,805,30.496894409937887,31.482218404649824
gemini-pro,23.229813664596275,1.484134487928185,verified,1456,185,616,4,805,23.229813664596275,31.213711811983323
claude-2,17.950310559006212,1.3520354181685712,verified,1069,144,660,1,805,17.950310559006212,29.631286525473534
